genre,id,title,rating,production_countries,budget,revenue,imdb_ids,Plot
Thriller,382614,The Book of Henry,7.518,['US'],10000000,4596705,tt4572792,"With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather."
War,424,Schindler's List,8.567,['US'],22000000,321365567,tt0108052,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
War,12477,Grave of the Fireflies,8.453,['JP'],3700000,516962,tt0095327,A young boy and his little sister struggle to survive in Japan during World War II.
War,423,The Pianist,8.4,"['FR', 'DE', 'PL', 'GB']",35000000,120098945,tt0253474,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
War,914,The Great Dictator,8.302,['US'],2000000,11000000,tt0032553,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
War,28,Apocalypse Now,8.3,['US'],31500000,150000000,tt0078788,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
War,975,Paths of Glory,8.3,['US'],935000,1200000,tt0050825,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
War,803,Night and Fog,8.249,['FR'],0,0,tt0048434,The history of Nazi Germany's death camps of the Final Solution and the hellish world of dehumanization and death contained inside.
War,25237,Come and See,8.2,['SU'],0,20929648,tt0091251,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
War,857,Saving Private Ryan,8.218,['US'],70000000,481840909,tt0120815,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
War,16869,Inglourious Basterds,8.215,"['DE', 'US']",70000000,321457747,tt0361748,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
War,324786,Hacksaw Ridge,8.194,"['AU', 'GB', 'US', 'CN']",40000000,175302354,tt2119532,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
War,20941,Innocent Voices,8.168,"['MX', 'PR', 'US']",0,837000,tt0387914,"A young boy, in an effort to have a normal childhood in 1980's El Salvador, is caught up in a dramatic fight for his life as he desperately tries to avoid the war which is raging all around him."
War,600,Full Metal Jacket,8.125,"['GB', 'US']",30000000,46357676,tt0093058,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
War,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.1,['GB'],1800000,9500000,tt0057012,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
War,55823,The Great War,8.1,"['FR', 'IT']",0,0,tt0052861,The Italian Army fought against the Austrians during World War I.
War,46738,Incendies,8.1,"['CA', 'FR']",6800000,6788659,tt1255953,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
War,387,Das Boot,8.1,['DE'],14000000,85000000,tt0082096,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
War,31439,To Live,8.0,"['CN', 'HK']",0,0,tt0110081,"After Fugui and Jiazhen lose their personal fortunes, they raise a family and survive difficult cultural changes during 1940s to 1970s China."
War,472454,Ayla: The Daughter of War,8.0,['TR'],4200000,21107423,tt6316138,"Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her beh..."
War,515001,Jojo Rabbit,8.0,"['NZ', 'US']",14000000,82468705,tt2584384,"A young German boy in the Hitler Youth, whose hero and imaginary friend is the country's dictator, is shocked to discover that his mother is hiding a Jewish girl in their home."
War,307,"Rome, Open City",8.0,['IT'],20000,1000000,tt0038890,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape."
War,3175,Barry Lyndon,8.0,"['GB', 'US']",11000000,260131,tt0072684,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
War,11658,Tae Guk Gi: The Brotherhood of War,8.0,"['KR', 'US']",1500000,0,tt0386064,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
War,205596,The Imitation Game,7.996,['US'],14000000,233555708,tt2084970,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
War,947,Lawrence of Arabia,7.995,['GB'],15000000,69995385,tt0056172,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
War,11778,The Deer Hunter,7.993,"['GB', 'US']",15000000,49000000,tt0077416,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
War,530915,1917,8.0,"['IN', 'ES', 'GB', 'US']",100000000,394638258,tt8579674,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
War,961,The General,8.0,['US'],750000,1000000,tt0017925,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene..."
War,5925,The Great Escape,7.945,['US'],4000000,11700000,tt0057115,"Allied officers in a German prisoner of war camp during World War II making a daring plan for a mass escape by hundreds of their men, hoping to draw German personnel and resources away from combat operations."
War,197,Braveheart,7.941,['US'],72000000,213216216,tt0112573,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
War,770,Gone with the Wind,7.9,['US'],4000000,402352579,tt0031381,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
War,38360,The Cranes Are Flying,7.925,['SU'],0,0,tt0050634,"Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter."
War,8290,Don't Look Now... We're Being Shot At!,7.9,"['FR', 'GB']",0,0,tt0060474,Several ordinary Frenchmen go on an epic voyage through the occupied country to the free zone as they help British pilots avoid German captivity.
War,426618,Where Hands Touch,7.918,['GB'],0,128269,tt1235187,A rites of passage story of a bi-racial teen struggling for survival in Nazi Germany.
War,15383,Army of Shadows,7.9,"['FR', 'IT']",0,906133,tt0064040,An account of underground resistance fighters in Nazi-occupied France.
War,378108,In This Corner of the World,7.901,['JP'],0,19496308,tt4769824,A spirited 18-year-old woman is married off to a man she barely knows as she combats the daily struggles of living in Hiroshima during World War II.
War,17295,The Battle of Algiers,7.9,"['IT', 'DZ']",800000,964028,tt0058946,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
War,613,Downfall,7.858,"['AT', 'DE', 'IT']",16000000,92181574,tt0363163,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
War,94047,My Way,7.852,['KR'],25500000,16653488,tt1606384,"In World War II-era Korea, rival runners, one Korean (Jang Dong-gun) and one Japanese (Joe Odagiri), go to war together against the Soviets."
War,777,Grand Illusion,7.8,['FR'],0,172885,tt0028950,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
War,430424,See You Up There,7.8,"['CA', 'FR']",23000000,15100000,tt5258850,"In November 1919, two soldiers--a disfigured but brilliant artist and an ex-accountant--start a memorial con. But in Roaring Twenties France, their adventures soon turn dangerous."
War,435129,The Breadwinner,7.8,"['CA', 'IE', 'LU', 'US']",0,312381,tt3901826,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
War,31442,Ivan's Childhood,7.839,['SU'],0,0,tt0056111,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines."
War,24167,Two Women,7.834,"['FR', 'IT']",0,0,tt0054749,"In WWII Italy, a widow and her lonely daughter seek distance between themselves and the horrors of war."
War,14574,The Boy in the Striped Pyjamas,7.829,"['GB', 'US']",12500000,20416563,tt0914798,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
War,2440,Joint Security Area,7.8,['KR'],12500000,0,tt0260991,"After a shooting incident at the North-South Korean border DMZ leaves two North Korean soldiers dead, a neutral Swiss and Swedish team investigates what actually happened."
War,650031,The Shadow in My Eye,7.8,['DK'],0,0,tt9170516,The fates of several Copenhagen residents collide when a WWII bombing mission accidentally targets a school full of children.
War,502,Fail Safe,7.8,['US'],0,0,tt0058083,A technical malfunction sends American planes to Moscow to deliver a nuclear attack. Can all-out war be averted?
War,198,To Be or Not to Be,7.821,['US'],1200000,1500000,tt0035446,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
War,826,The Bridge on the River Kwai,7.8,['GB'],3000000,44908000,tt0050212,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
War,398924,A Bag of Marbles,7.8,"['BE', 'CA', 'CZ', 'FR']",21400000,10898998,tt5091612,"In occupied France, Maurice and Joseph, two young Jewish brothers left to their own devices demonstrate an incredible amount of cleverness, courage, and ingenuity to escape the enemy invasion and to try to reunite their family onc..."
War,11953,Kagemusha,7.8,"['JP', 'US']",6000000,4000000,tt0080979,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
War,335578,Land of Mine,7.797,"['DE', 'DK']",5070773,0,tt3841424,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
War,543580,They Shall Not Grow Old,7.8,"['NZ', 'TR', 'GB']",0,20904188,tt7905466,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.
War,5000,Forbidden Games,7.8,['FR'],0,10188,tt0043686,"A young French girl orphaned in a German air attack is befriended by the son of a poor farmer, and together they try to come to terms with the realities of death."
War,149870,The Wind Rises,7.8,['JP'],30000000,117932401,tt2013293,"Jiro Horikoshi studies assiduously to fulfill his aim of becoming an aeronautical engineer. As WWII begins, fighter aircraft designed by him end up getting used by the Japanese Empire against its foes."
War,715931,Emancipation,7.8,['US'],0,0,tt12530246,A runaway slave forges through the swamps of Louisiana on a tortuous journey to escape plantation owners that nearly killed him.
War,887,The Best Years of Our Lives,7.773,['US'],2100000,23650000,tt0036868,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
